,Title,ID,Published,Views,Likes,Dislikes,Comments,Video_ID,Lenght,Seconds
82,Doing Things A LOT Differently | 2 Million Subs Episode! - Boho Frequency w/Juliana & Mark Spicoluk,vv6o5TSnStw,2021-04-05T16:07:31Z,90908,2464,39,260,vv6o5TSnStw,0 days 01:16:55,4615.0
83,"Puppies, Babies, New Parents, & Post Pregnancy Life ☮ Boho Frequency Ep8 w/Juliana & Mark Spicoluk",fgegW9lHPhw,2021-02-13T21:02:05Z,110403,2390,33,258,fgegW9lHPhw,0 days 01:01:19,3679.0
84,"All Things Yoga | Pregnancy, Healing, & Coping With Pandemic Hysteria ☮ Boho Frequency Ep.7",8X_3PpSN7JA,2020-11-28T23:52:59Z,89271,1782,31,209,8X_3PpSN7JA,0 days 01:04:51,3891.0
85,"Yes, I'm Pregnant! OH baby!🤰What This Means For Boho Beautiful | Boho Frequency  Ep 6",15S-XdVBJw4,2020-10-04T23:23:08Z,257827,7967,104,1164,15S-XdVBJw4,0 days 00:54:45,3285.0
86,"Top Picks & Must Haves - Mats, Yoga Clothes, Skin, Books, Documentaries & More! ☮ Boho Frequency Ep5",HkbwCWIwlCQ,2020-08-08T02:24:04Z,93293,1934,38,184,HkbwCWIwlCQ,0 days 00:46:21,2781.0
87,Achieving The Best Mental & Physical Shape Of Your Life | Boho Frequency: Juliana & Mark Spicoluk,DQy3lU0fy4I,2020-08-08T02:32:09Z,148021,2761,44,234,DQy3lU0fy4I,0 days 01:34:54,5694.0
88,We Stand With You | The Boho Frequency ☮ Juliana & Mark Spicoluk: Ep 3,RouppDMQQjk,2020-08-14T01:17:03Z,36993,1191,76,141,RouppDMQQjk,0 days 00:48:43,2923.0
89,Mindfulness In A Mad World | The Boho Frequency ☮ Juliana & Mark Spicoluk: Ep.2,_Adxw43egfM,2020-06-01T18:15:18Z,47766,1456,31,119,_Adxw43egfM,0 days 01:12:36,4356.0
90,All Things YOGA | The Boho Frequency ☮ EPISODE 1! w/Juliana & Mark Spicoluk,BBn7qBxAero,2020-06-01T18:14:46Z,97914,2457,30,207,BBn7qBxAero,0 days 01:20:17,4817.0
91,New LIVE Stream Classes! +NEW BOHO APP and Q&A Session  ☮,uTtF3s9wDc0,2020-06-01T18:15:32Z,208813,3105,75,321,uTtF3s9wDc0,0 days 00:55:46,3346.0
92,"Getting Back In Shape: Our Secrets, Tips, & Strategy | Boho Frequency w/Juliana & Mark Spicoluk Ep10",zMRYa6nM_oM,2021-04-26T14:55:28Z,76431,2006,33,203,zMRYa6nM_oM,0 days 01:11:50,4310.0
127,"My Skin Care Routine ♥ The ""Secret"" To Clear, Hydrated, & Healthy Skin",WwNMUu3WWtM,2020-05-01T17:59:45Z,194562,4755,186,282,WwNMUu3WWtM,0 days 00:10:26,626.0
138,Nothing Will Ever Be The Same ♥ Boho Diary | Nepal,6yfAt93Ty3A,2020-05-01T17:59:45Z,139463,5580,110,839,6yfAt93Ty3A,0 days 00:12:34,754.0
140,When Juliana Is Away... | Easy Hair Tutorial For Everyone,FlmtfcPmHFg,2020-05-01T17:59:45Z,45904,1845,50,200,FlmtfcPmHFg,0 days 00:08:06,486.0
173,25 Min Prenatal Yoga Workout | Gentle Full Body Class For A Healthy Pregnancy,_NP6u3TWlBE,2021-05-09T12:45:32Z,130797,3201,38,231,_NP6u3TWlBE,0 days 00:25:23,1523.0
226,Yoga For Back Pain | Strengthen & Stretch Your Way To A New Healthy Back,D1qdaQHsJV8,2020-05-01T03:19:54Z,683781,15156,166,246,D1qdaQHsJV8,0 days 00:15:38,938.0
282,Van Life & The Lessons Of The Road ♥ Boho Diary | USA,Gepp4Z5pv5o,2018-10-01T19:13:57Z,84680,2555,30,238,Gepp4Z5pv5o,0 days 00:10:26,626.0
292,How We Stay Healthy & Fit | 'Boho Beautiful DETOXIFY',QoTzWL1prvg,2019-09-29T16:28:15Z,117985,1650,51,81,QoTzWL1prvg,0 days 00:01:16,76.0
296,SOCIETY SUCKS SOULS | We Made An Escape Plan & Walked Away 🏔 Boho Diary Nepal,_B1_3CS9pj4,2019-07-14T17:27:14Z,196477,6196,157,539,_B1_3CS9pj4,0 days 00:12:28,748.0
297,What We Eat In A Day As Vegan Digital Nomads | Boho Diary,iDQaU0w_8Ew,2019-12-29T17:55:39Z,122043,3366,85,215,iDQaU0w_8Ew,0 days 00:14:21,861.0
298,"The Commercialism Plague, We Just Can't  Handle It Anymore ♥ Boho Diary | Peru",0JJ1NrwwUvU,2018-08-05T18:52:52Z,190338,6915,237,715,0JJ1NrwwUvU,0 days 00:13:32,812.0
299,Intermittent Fasting & Calorie Tracking For Results | Nicaragua Diary,IExPO6NtZWE,2019-11-24T20:10:40Z,104828,2577,154,207,IExPO6NtZWE,0 days 00:10:11,611.0
300,When We Stopped Everything To Live With Monks ♥ Boho Diary | Kopan Monastery,pThXSdN-kaA,2019-07-28T19:25:09Z,88971,3197,43,227,pThXSdN-kaA,0 days 00:12:13,733.0
301,"What We Eat When We Travel | Vegan, Healthy and FRUSTRATED 🇨🇭 Boho Diary Switzerland",dTuSPwjIOPo,2019-02-03T16:59:47Z,133387,3770,97,405,dTuSPwjIOPo,0 days 00:15:29,929.0
302,BANNED From China?! | Tibet Will Now Always Have Our Heart ❤️Boho Diary,kintmyrcmlY,2019-10-13T15:53:14Z,84561,2757,420,759,kintmyrcmlY,0 days 00:10:19,619.0
303,We Got Tattoos In Bali ♥ Some Might Say This Was A Huge Mistake?! | Boho Diary,iUxr6KpdggA,2018-12-02T17:30:00Z,90549,2621,93,195,iUxr6KpdggA,0 days 00:13:24,804.0
318,What I Eat In A Day ♥ Easy Healthy Vegan Meals | Canada,3f8D9vuswXo,2017-02-22T18:04:14Z,1211695,18010,675,908,3f8D9vuswXo,0 days 00:14:05,845.0
320,What We Eat In A Day ♥ Easy Vegan Recipes For Everyone,xCyvgMZmPUI,2018-05-08T17:36:24Z,213026,6121,89,301,xCyvgMZmPUI,0 days 00:10:44,644.0
321,Best High Protein Vegan Breakfast | Easy Vegan Recipes,LvURFKDaVGc,2019-10-28T16:15:55Z,95957,2675,99,146,LvURFKDaVGc,0 days 00:04:36,276.0
322,Best Healthy Smoothies | Cauliflower Fudge!! +FREE EBOOK,4s8_rlDXrr4,2019-11-18T14:20:27Z,42362,1720,17,82,4s8_rlDXrr4,0 days 00:05:01,301.0
323,What I Eat In A Day ♥ Healthy Vegan Comfort Food | Rocky Mountains,CwHabMf-AZU,2017-02-22T18:04:14Z,233655,4697,115,288,CwHabMf-AZU,0 days 00:14:35,875.0
325,Easy & Cheap Vegan Meal Recipes | Creamy Broccoli Soup & Summer Quinoa Salad,dT_LkfFyi7o,2019-11-05T06:04:41Z,54138,1624,30,85,dT_LkfFyi7o,0 days 00:05:01,301.0
326,Smoothies & Shrooms ♥ How We Stay Healthy & Focussed In Canada,wYc85OFhKjU,2018-09-30T20:48:28Z,75510,2503,75,229,wYc85OFhKjU,0 days 00:09:21,561.0
327,Yoga Hangover Recipe For Sore Muscles | +FREE NEW EBOOK DOWNLOAD,yRbM2NIpZHY,2019-10-06T17:13:04Z,44248,1448,34,83,yRbM2NIpZHY,0 days 00:05:52,352.0
330,Our Message To The World ♥ Bohemian Soul Diary,S5S8ldAJ1dA,2017-02-22T17:56:59Z,403083,7123,135,510,S5S8ldAJ1dA,0 days 00:03:31,211.0
339,Go All The Way ♥ Our Bohemian Soul Diary,4d6-hzxiMO4,2016-12-21T04:33:01Z,52425,1404,36,64,4d6-hzxiMO4,0 days 00:02:36,156.0
363,"Q&A Time! | Health & Travel Hacks, Yoga,  Relationship Advice, Avril Lavigne, & PREGNANT?!",aEXdyG43vjg,2019-10-20T22:11:46Z,74650,1522,36,144,aEXdyG43vjg,0 days 01:23:56,5036.0
366,Morning Coffee in Costa Rica - Q&A & Update,ETo9wRagZHA,2018-02-17T18:36:47Z,47681,837,25,188,ETo9wRagZHA,0 days 00:21:38,1298.0
