,Title,ID,Published,Views,Likes,Dislikes,Comments,Video_ID,Lenght,Seconds
51,The 14 Day Free Yoga & Meditation Journey | Two Week Yoga Challenge 2021 ✨,p60jqjHJHww,2021-04-26T15:07:20Z,291312,6076,39,576,p60jqjHJHww,0 days 00:05:54,354.0
64,Guided Morning Meditation For Gratitude & A Perfect Day Ahead | Pure Loving Kindness,o_RTFyzB3vA,2021-01-15T13:07:51Z,134833,4276,64,274,o_RTFyzB3vA,0 days 00:16:13,973.0
65,10 MIN Guided Meditation To Clear Your Mind & Start New Positive Habits,uTN29kj7e-w,2021-01-04T15:41:24Z,408873,11631,134,362,uTN29kj7e-w,0 days 00:11:58,718.0
66,15 MIN Guided Meditation For Manifestation & Success | Feed Your Truth & Inner Fire,APvLO3uXLnE,2021-01-02T13:22:06Z,205900,6466,88,209,APvLO3uXLnE,0 days 00:14:26,866.0
67,10 MIN Guided Meditation For Anxiety & Fear | Create Your Own Reality,s41tJnY7ZbM,2021-01-03T11:44:04Z,145933,5006,44,204,s41tJnY7ZbM,0 days 00:11:49,709.0
68,15 MIN Guided Meditation For Peace & Forgiveness | Let Go All That No Longer Serves You,V6ihmni3jzc,2021-01-04T12:30:16Z,105543,3653,44,159,V6ihmni3jzc,0 days 00:14:40,880.0
69,"Best 10 Min Guided Meditation | Master Your Mind To Eliminate Stress, Fear, & Anxiety",goqqLfrXzhI,2021-01-05T12:27:53Z,172110,5025,41,147,goqqLfrXzhI,0 days 00:12:16,736.0
70,Best Morning Meditation | 15 Minutes To A Perfect Day,F1R8VRV7dhY,2021-01-06T12:21:33Z,166268,4562,72,146,F1R8VRV7dhY,0 days 00:15:29,929.0
71,Beautiful 10 MIN Guided Meditation For Uncertain & Difficult Times,sRVYz5s1F3s,2021-01-07T12:48:22Z,65256,2609,11,106,sRVYz5s1F3s,0 days 00:11:45,705.0
72,POWERFUL 15 Min Guided Meditation For Stress & Anxiety | Surrender To The Flow,JR02fcXyLQY,2021-01-08T12:45:14Z,108811,3511,28,219,JR02fcXyLQY,0 days 00:14:52,892.0
73,10 Min Meditation For Positive Energy | Manifest Love & Light,8zfQvchPkqQ,2021-01-09T13:14:02Z,150156,4722,47,178,8zfQvchPkqQ,0 days 00:12:03,723.0
74,Guided Meditation For Overcoming Fear & Shifting Reality | 15 Minutes Of Peace,DZ3Vc_72TJE,2021-01-10T13:15:59Z,98758,3147,24,171,DZ3Vc_72TJE,0 days 00:15:14,914.0
75,10 Min Guided Meditation For Deep Relaxation & Positivity,swjDIvuxFx4,2021-01-11T12:57:26Z,148051,4118,38,117,swjDIvuxFx4,0 days 00:12:09,729.0
76,Guided Meditation For A Peaceful Calm Mind To Raise Your Energetic Vibration,0bpYcXx7qTs,2021-01-12T12:50:42Z,129872,3585,40,119,0bpYcXx7qTs,0 days 00:16:08,968.0
77,"10 Min Guided Meditation For Calm, Peace, & Finding Happiness | Grace & Gratitude",TaqjzL4Fi6Y,2021-01-13T09:29:58Z,129598,4552,32,169,TaqjzL4Fi6Y,0 days 00:12:03,723.0
78,Manifestation Meditation | Incredibly POWERFUL To Accomplish Your Goals & Dreams,mF726pfBINI,2021-01-07T03:35:58Z,160118,4686,46,232,mF726pfBINI,0 days 00:15:05,905.0
158,Guided Meditation To End Your Day ♥ Day 6,tZAmfVKPBCA,2020-05-01T17:52:11Z,574190,8247,206,264,tZAmfVKPBCA,0 days 00:13:08,788.0
160,10 Min Guided Meditation For Sleep & Relaxation | Fall Asleep Fast With Soothing Rain Sounds,bG3AcN-XOrw,2020-05-01T17:52:55Z,1094887,13688,507,336,bG3AcN-XOrw,0 days 00:12:03,723.0
272,15 Minute Guided Meditation  ♥ Mindfully Heal Yourself From The Inside Out,p29mwfzpNc4,2020-05-01T17:57:40Z,932385,18183,453,628,p29mwfzpNc4,0 days 00:16:37,997.0
336,Guided Meditation For Healing | Day 9,nm5IbVs9nMs,2016-12-21T04:33:01Z,344830,5622,93,218,nm5IbVs9nMs,0 days 00:13:57,837.0
342,Easy Guided Meditation For Manifesting Dreams ♥ Day 8,98L-kB8L2lw,2016-12-21T04:33:01Z,338909,5447,89,222,98L-kB8L2lw,0 days 00:12:41,761.0
343,Best Guided Meditation For Inner Strength ♥ Day 7,78MPESZn-V4,2016-12-21T04:33:01Z,569646,9245,197,451,78MPESZn-V4,0 days 00:14:45,885.0
345,Guided Meditation For Letting Go ♥ Day 5,f97-gZncxGU,2016-12-21T04:33:01Z,390612,6191,104,275,f97-gZncxGU,0 days 00:11:17,677.0
347,Guided Meditation For Peace & Contentment  ♥ Day 3,eDQxQ8dhfug,2016-12-21T04:33:01Z,272372,4630,76,147,eDQxQ8dhfug,0 days 00:11:25,685.0
352,Guided Meditation For Strength & Grounding ♥ 15 Minutes,DkKGTgYt5Dk,2018-02-15T23:55:46Z,361000,6868,154,245,DkKGTgYt5Dk,0 days 00:16:35,995.0
353,Beautiful Guided Meditation For Everyone ♥ Angkor Wat,bbOTBM7-p9E,2018-03-27T15:28:27Z,244282,4959,74,181,bbOTBM7-p9E,0 days 00:16:29,989.0
354,How To Meditate ♥ Guided Meditation To Finally Still The Mind,DQB3SXzSbHk,2018-07-01T18:00:46Z,293558,6045,99,173,DQB3SXzSbHk,0 days 00:15:42,942.0
