,Title,ID,Published,Views,Likes,Dislikes,Comments,Video_ID,Lenght,Seconds
0,5 Minutes Arm Workout For Toning | How To Lose Arm Fat,W2Mq_c-dgVY,2021-02-03T16:19:28Z,5494234.0,90268.0,942.0,1891.0,W2Mq_c-dgVY,0 days 00:06:19,379.0
1,Best Ab Workout In 10 Min ♥ Tummy & Muffin Top | Virginia Beach,_qNmbXRZtfY,2021-02-03T16:20:19Z,2350421.0,29756.0,402.0,785.0,_qNmbXRZtfY,0 days 00:13:56,836.0
2,Challenge Your Waistline ♥ Abs & Core Workout Plan,AhITIKFruHM,2021-02-03T16:32:45Z,1657145.0,19574.0,255.0,510.0,AhITIKFruHM,0 days 00:12:16,736.0
3,Best Leg Toning Workout ♥ 10 Minute Glutes & Thighs | Maldives,YEETslOqmZs,2021-02-03T16:20:01Z,1802845.0,27325.0,319.0,453.0,YEETslOqmZs,0 days 00:14:11,851.0
4,Full Body Workout ♥  Quick Morning Wake Up Call,PknU1QEV4Zo,2021-02-03T16:25:43Z,2476443.0,30563.0,533.0,581.0,PknU1QEV4Zo,0 days 00:10:59,659.0
5,15 MIN Yoga Workout Class For The Entire Lower Body | Better Than The Gym ➤ Day 12,_m4xwc2KkkU,2021-02-03T16:08:57Z,171486.0,5216.0,44.0,195.0,_m4xwc2KkkU,0 days 00:17:06,1026.0
6,20 Min Arm & Upper Body Workout For Definition & Strength | NO Equipment + 14 Day Challenge,Ez_VWhR2Hkw,2021-06-06T13:16:39Z,81087.0,4227.0,32.0,367.0,Ez_VWhR2Hkw,0 days 00:21:52,1312.0
7,The Perfect Workout ♥ Full Body Blast & Tone,L7r2BSRYIWY,2021-02-03T16:34:25Z,7115021.0,71564.0,2039.0,1614.0,L7r2BSRYIWY,0 days 00:14:48,888.0
8,Pilates Workout | Best 15 Minute Body Burn For Results,7IyYtxdDqJw,2021-02-03T16:12:13Z,827214.0,15769.0,282.0,267.0,7IyYtxdDqJw,0 days 00:15:58,958.0
9,Pilates Workout Challenge ♥ Get Ready For Summer In 14 Days | Padar Island,r_W49tWhVys,2021-02-03T16:21:45Z,2004298.0,20193.0,350.0,505.0,r_W49tWhVys,0 days 00:19:30,1170.0
10,45 Min Pilates Full Body Workout | Feel & Look Incredible From The Inside Out,T3bhlKXSW68,2021-06-07T12:33:06Z,185131.0,6921.0,37.0,462.0,T3bhlKXSW68,0 days 00:43:56,2636.0
11,10 Min Cardio Yoga Workout | The Only Full Body Workout You Need In A Pinch,W-Jqbw0BWX0,2021-04-18T13:55:25Z,156386.0,6064.0,40.0,192.0,W-Jqbw0BWX0,0 days 00:13:15,795.0
12,Pilates 21 Day Challenge  ♥  Full Body Workout  For Results,Dt2FyFYRmes,2021-02-03T16:20:50Z,5138322.0,45339.0,945.0,1497.0,Dt2FyFYRmes,0 days 00:25:22,1522.0
13,"30 Min Yoga For Tight & Sore Hips, Glutes, Hamstrings, & Quads | Post Workout Yoga  ➤ Day 13",w2TfswY2_rg,2021-02-03T16:08:38Z,222151.0,6740.0,35.0,221.0,w2TfswY2_rg,0 days 00:29:04,1744.0
14,Ultimate Pilates 14 Day Challenge | Define Your Abs & Core + FREE schedule,laxxGDWRteU,2021-02-03T16:16:48Z,893350.0,14915.0,123.0,324.0,laxxGDWRteU,0 days 00:14:30,870.0
15,"10 Min Pilates Workout For Toned Core, Abs, & Legs | QUICK & EFFECTIVE",rHq1Heh4z9o,2021-02-03T16:16:22Z,658524.0,14307.0,156.0,290.0,rHq1Heh4z9o,0 days 00:12:14,734.0
16,The Ultimate Pilates 21 Day Challenge ♥ Define Your Abs & Booty,ouv_isD5mZ8,2021-02-03T16:21:14Z,6320314.0,56647.0,1003.0,1670.0,ouv_isD5mZ8,0 days 00:17:19,1039.0
17,Ultimate Pilates 10 Minute Workout | Gym Is Cancelled But Your Fitness Is Not,LhGmNiBfFrA,2021-02-03T16:12:32Z,475730.0,12153.0,108.0,258.0,LhGmNiBfFrA,0 days 00:13:46,826.0
