,Title,ID,Published,Views,Likes,Dislikes,Comments,Video_ID,Lenght,Seconds
52,25 Min Morning Yoga  | Full Body Yoga Flow To Start Your Day Perfectly ➤ Yoga Day 1,vgVCD9kICH8,2021-01-01T13:20:28Z,444039,13401,100,574,vgVCD9kICH8,0 days 00:27:06,1626.0
54,25 Min Vinyasa Flow | Full Body Yoga To Feel Your Best  ➤ Day 3,rVO_qZT31O8,2021-01-03T11:43:27Z,280106,8112,41,259,rVO_qZT31O8,0 days 00:25:59,1559.0
55,25 Minute Yin Yoga Full Body Release & Recovery | The Breath Of Life ➤ Day 4,-u14ME3nMWA,2021-01-04T12:31:49Z,310617,8495,82,235,-u14ME3nMWA,0 days 00:25:52,1552.0
59,25 Min Yin Yoga Vinyasa Fusion | Deep Release Ying Yang Yoga ➤ Day 8,2FUC8fazHx4,2021-01-08T13:03:59Z,179686,5742,39,235,2FUC8fazHx4,0 days 00:25:45,1545.0
60,Feel Good Yoga Flow For Necessary YOU TIME | 25 Min Morning Yoga ➤ Day 9,h5VIqFWCSCg,2021-01-09T13:07:10Z,218932,6799,40,223,h5VIqFWCSCg,0 days 00:24:59,1499.0
121,25 Min Morning Full Body Yoga To Wake Up & Feel Great | Boho Beautiful Yoga,aoJJz6vOMvA,2021-02-28T15:35:20Z,416720,14198,87,453,aoJJz6vOMvA,0 days 00:27:40,1660.0
165,25 Min Total Body Yoga & Tension Release | Yoga Healing From The Inside Out,GjMSgK5H4ho,2020-11-08T18:31:50Z,919662,25223,236,686,GjMSgK5H4ho,0 days 00:27:52,1672.0
171,25 Min Yin Yoga Class | 7 Day Yin Yoga Exploration Challenge,7mi15YbS8wg,2020-05-01T17:39:48Z,358228,8572,69,276,7mi15YbS8wg,0 days 00:29:04,1744.0
173,25 Min Prenatal Yoga Workout | Gentle Full Body Class For A Healthy Pregnancy,_NP6u3TWlBE,2021-05-09T12:45:32Z,130797,3201,38,231,_NP6u3TWlBE,0 days 00:25:23,1523.0
191,Intermediate Yoga | Perfect 25 Min Yoga Class To Gently Guide Your Practice To Its Next Level,ivCQEbf_8wU,2020-08-09T13:04:50Z,224002,6988,53,275,ivCQEbf_8wU,0 days 00:26:26,1586.0
222,Full Body & Heart Yoga Class | 25 Min Yoga To Melt Uncertainty & Feel Incredible,FOccU0XRGZM,2020-08-24T13:56:37Z,703802,18525,194,576,FOccU0XRGZM,0 days 00:26:58,1618.0
