,Title,ID,Published,Views,Likes,Dislikes,Comments,Video_ID,Lenght,Seconds
0,5 Minutes Arm Workout For Toning | How To Lose Arm Fat,W2Mq_c-dgVY,2021-02-03T16:19:28Z,5494234,90268,942,1891,W2Mq_c-dgVY,0 days 00:06:19,379.0
1,Best Ab Workout In 10 Min ♥ Tummy & Muffin Top | Virginia Beach,_qNmbXRZtfY,2021-02-03T16:20:19Z,2350421,29756,402,785,_qNmbXRZtfY,0 days 00:13:56,836.0
2,Challenge Your Waistline ♥ Abs & Core Workout Plan,AhITIKFruHM,2021-02-03T16:32:45Z,1657145,19574,255,510,AhITIKFruHM,0 days 00:12:16,736.0
3,Best Leg Toning Workout ♥ 10 Minute Glutes & Thighs | Maldives,YEETslOqmZs,2021-02-03T16:20:01Z,1802845,27325,319,453,YEETslOqmZs,0 days 00:14:11,851.0
4,Full Body Workout ♥  Quick Morning Wake Up Call,PknU1QEV4Zo,2021-02-03T16:25:43Z,2476443,30563,533,581,PknU1QEV4Zo,0 days 00:10:59,659.0
5,15 MIN Yoga Workout Class For The Entire Lower Body | Better Than The Gym ➤ Day 12,_m4xwc2KkkU,2021-02-03T16:08:57Z,171486,5216,44,195,_m4xwc2KkkU,0 days 00:17:06,1026.0
6,20 Min Arm & Upper Body Workout For Definition & Strength | NO Equipment + 14 Day Challenge,Ez_VWhR2Hkw,2021-06-06T13:16:39Z,81087,4227,32,367,Ez_VWhR2Hkw,0 days 00:21:52,1312.0
7,The Perfect Workout ♥ Full Body Blast & Tone,L7r2BSRYIWY,2021-02-03T16:34:25Z,7115021,71564,2039,1614,L7r2BSRYIWY,0 days 00:14:48,888.0
8,Pilates Workout | Best 15 Minute Body Burn For Results,7IyYtxdDqJw,2021-02-03T16:12:13Z,827214,15769,282,267,7IyYtxdDqJw,0 days 00:15:58,958.0
9,Pilates Workout Challenge ♥ Get Ready For Summer In 14 Days | Padar Island,r_W49tWhVys,2021-02-03T16:21:45Z,2004298,20193,350,505,r_W49tWhVys,0 days 00:19:30,1170.0
10,45 Min Pilates Full Body Workout | Feel & Look Incredible From The Inside Out,T3bhlKXSW68,2021-06-07T12:33:06Z,185131,6921,37,462,T3bhlKXSW68,0 days 00:43:56,2636.0
11,10 Min Cardio Yoga Workout | The Only Full Body Workout You Need In A Pinch,W-Jqbw0BWX0,2021-04-18T13:55:25Z,156386,6064,40,192,W-Jqbw0BWX0,0 days 00:13:15,795.0
12,Pilates 21 Day Challenge  ♥  Full Body Workout  For Results,Dt2FyFYRmes,2021-02-03T16:20:50Z,5138322,45339,945,1497,Dt2FyFYRmes,0 days 00:25:22,1522.0
13,"30 Min Yoga For Tight & Sore Hips, Glutes, Hamstrings, & Quads | Post Workout Yoga  ➤ Day 13",w2TfswY2_rg,2021-02-03T16:08:38Z,222151,6740,35,221,w2TfswY2_rg,0 days 00:29:04,1744.0
15,"10 Min Pilates Workout For Toned Core, Abs, & Legs | QUICK & EFFECTIVE",rHq1Heh4z9o,2021-02-03T16:16:22Z,658524,14307,156,290,rHq1Heh4z9o,0 days 00:12:14,734.0
